Sentence,Part1 Sentiment,Part2 Sentiment,Transition Word,part1_sentence,part2_sentence
ನನ್ನ ಜೀವನದಲ್ಲಿ ಏನೂ ಚೆನ್ನಾಗಿಲ್ಲ ಆದರೆ ಸಂಗೀತ ನುಡಿಸುವಷ್ಟು ಕಾಲ ನನಗೆ ನಾನೂ ಒಬ್ಬ ಮನುಷ್ಯಳು ಅನ್ನಿಸುತ್ತದೆ ನನ್ನ ಮೇಲೆ ನನಗೆ ಗೌರವ ಬರುತ್ತದೆ,N,P,ಆದರೆ,ನನ್ನ ಜೀವನದಲ್ಲಿ ಏನೂ ಚೆನ್ನಾಗಿಲ್ಲ,ಆದರೆ ಸಂಗೀತ ನುಡಿಸುವಷ್ಟು ಕಾಲ ನನಗೆ ನಾನೂ ಒಬ್ಬ ಮನುಷ್ಯಳು ಅನ್ನಿಸುತ್ತದೆ ನನ್ನ ಮೇಲೆ ನನಗೆ ಗೌರವ ಬರುತ್ತದೆ
ಉಡುಪಿ ದಕ್ಷಿಣ ಕನ್ನಡ ಕೊಡಗು ಚಿಕ್ಕಮಗಳೂರು ಸೇರಿದಂತೆ ಹಳೆ ಮೈಸೂರು ಭಾಗದಲ್ಲಿ ಬೇಸಿಗೆ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿವೆ ಎಂದು ಅವರು ಹೇಳಿದರು ಆದರೆ ವ್ಯಾಪಕವಾಗಿ ಹಾಗೂ ಭಾರೀ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿಲ್ಲ ಎಂದು ಶ್ರೀನಿವಾಸರೆಡ್ಡಿ ಸ್ಪಷ್ಟಪಡಿಸಿದರು,P,O,ಆದರೆ,ಉಡುಪಿ ದಕ್ಷಿಣ ಕನ್ನಡ ಕೊಡಗು ಚಿಕ್ಕಮಗಳೂರು ಸೇರಿದಂತೆ ಹಳೆ ಮೈಸೂರು ಭಾಗದಲ್ಲಿ ಬೇಸಿಗೆ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿವೆ ಎಂದು ಅವರು ಹೇಳಿದರು,ಆದರೆ ವ್ಯಾಪಕವಾಗಿ ಹಾಗೂ ಭಾರೀ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಗಳಿಲ್ಲ ಎಂದು ಶ್ರೀನಿವಾಸರೆಡ್ಡಿ ಸ್ಪಷ್ಟಪಡಿಸಿದರು
ಇನ್ನೇನು ಮೇ 27ರ ನಂತರ ಕ್ರಿಕೆಟ್ ಪ್ರೇಮಿಗಳ ಹಬ್ಬ ಮುಗಿಯುತ್ತದೆ ಆದರೆ ಕ್ರೀಡಾ ಪ್ರೇಮಿಗಳಿಗೆ ಈ ವರ್ಷ ಪೂರಾ ಒಂದರ ನಂತರ ಒಂದು ಮಹತ್ವದ ಆಟಗಳು ನಡೆಯಲಿವೆ,N,O,ಆದರೆ,ಇನ್ನೇನು ಮೇ 27ರ ನಂತರ ಕ್ರಿಕೆಟ್ ಪ್ರೇಮಿಗಳ ಹಬ್ಬ ಮುಗಿಯುತ್ತದೆ,ಆದರೆ ಕ್ರೀಡಾ ಪ್ರೇಮಿಗಳಿಗೆ ಈ ವರ್ಷ ಪೂರಾ ಒಂದರ ನಂತರ ಒಂದು ಮಹತ್ವದ ಆಟಗಳು ನಡೆಯಲಿವೆ
ಗೂಗಲ್ನ ಜಾಗತಿಕ ಮಾರಾಟ ವಿಭಾಗದ ಮ್ಯಾನೆಜಿಂಗ್ ಡೈರೆಕ್ಟರ್ ಟಾಡ್ ರೋವ್ ಈ ಸಂಬಂಧ ಮಾತನಾಡಿದ್ದು ನ್ಯೂಜಿಲೆಂಡ್ನಲ್ಲಿ ಈಗ ಪ್ರೊಜೆಕ್ಟ್ ಲೂನ್ ಸಂಶೋಧನೆ ನಡೆಯುತ್ತಿದೆ ಒಂದು ವೇಳೆ ಈ ಪ್ರಯೋಗ ಯಶಸ್ವಿಯಾದಲ್ಲಿ ಇಂಟರ್ನೆಟ್ ಸೌಲಭ್ಯ ಕಲ್ಪಿಸಲು ಸಾಧ್ಯವಾಗದ ಭಾರತದ ಗ್ರಾಮೀಣ ಭಾಗದಲ್ಲೂ ಈ ಸೇವೆಯನ್ನು ಗೂಗಲ್ ನೀಡಲಿದೆ,O,P,ಆದರೆ,ಗೂಗಲ್ನ ಜಾಗತಿಕ ಮಾರಾಟ ವಿಭಾಗದ ಮ್ಯಾನೆಜಿಂಗ್ ಡೈರೆಕ್ಟರ್ ಟಾಡ್ ರೋವ್ ಈ ಸಂಬಂಧ ಮಾತನಾಡಿದ್ದು ನ್ಯೂಜಿಲೆಂಡ್ನಲ್ಲಿ ಈಗ ಪ್ರೊಜೆಕ್ಟ್ ಲೂನ್ ಸಂಶೋಧನೆ ನಡೆಯುತ್ತಿದೆ ಒಂದು ವೇಳೆ ಈ ಪ್ರಯೋಗ ಯಶಸ್ವಿಯಾದಲ್ಲಿ ಇಂಟರ್ನೆಟ್ ಸೌಲಭ್ಯ ಕಲ್ಪಿಸಲು ಸಾಧ್ಯವಾಗದ ಭಾರತದ ಗ್ರಾಮೀಣ ಭಾಗದಲ್ಲೂ ಈ ಸೇವೆಯನ್ನು ಗೂಗಲ್ ನೀಡಲಿದೆ,
ದೀರ್ಘಾವಧಿಯ ಹೂಡಿಕೆದಾರರಿಗೆ ಬೆಳ್ಳಿ ಲಾಭವನ್ನೇ ತಂದುಕೊಟ್ಟಿದೆ ಆದ್ದರಿಂದ ಕೇವಲ ದೀರ್ಘಾವಧಿಯ ಹೂಡಿಕೆಯಲ್ಲಿ ಮಾತ್ರವೇ ಬೆಳ್ಳಿ ಲಾಭಕರವಾಗಲಿದೆ ಎಂಬುದನ್ನು ಪುಣೆಯ ಮಾರುಕಟ್ಟೆ ತೋರಿಸಿಕೊಟ್ಟಿದೆ,P,P,ಅಥವಾ,ದೀರ್ಘಾವಧಿಯ ಹೂಡಿಕೆದಾರರಿಗೆ ಬೆಳ್ಳಿ ಲಾಭವನ್ನೇ ತಂದುಕೊಟ್ಟಿದೆ ಆದ್ದರಿಂದ ಕೇವಲ ದೀರ್ಘಾವಧಿಯ ಹೂಡಿಕೆಯಲ್ಲಿ ಮಾತ್ರವೇ ಬೆಳ್ಳಿ ಲಾಭಕರವಾಗಲಿದೆ ಎಂಬುದನ್ನು ಪುಣೆಯ ಮಾರುಕಟ್ಟೆ ತೋರಿಸಿಕೊಟ್ಟಿದೆ,
ಶಾಶ್ವತ ನೀರಾವರಿ ಇಲ್ಲದೇ ರೈತರು ತೀರಾ ಸಂಕಷ್ಟದಲ್ಲಿ ಜೀವನ ನಡೆಸುತ್ತಿದ್ದಾರೆ ಆದ್ದರಿಂದ ಶೀಘ್ರಗತಿಯಲ್ಲಿ ಎತ್ತಿನಹೊಳೆ ನೀರನ್ನು ಈ ಭಾಗಕ್ಕೆ ಹರಿಸಬೇಕೆಂಬ ನಿಟ್ಟಿನಲ್ಲಿ ಪ್ರಾಮಾಣಿಕ ಸರ್ಕಾರ ಕೆಲಸ ಮಾಡುತ್ತಿದೆ ರಾಜ್ಯ ಸರ್ಕಾರ ರೈತರ ಧ್ವನಿಯಾಗಿ ಜನ ಸಾಮಾನ್ಯರ ಅಶೋತ್ತರಗಳಿಗೆ ಸ್ವಂದಿಸಿ ಕೆಲಸ ಮಾಡಲಿದೆ,N,P,ಆದ್ದರಿಂದ,ಶಾಶ್ವತ ನೀರಾವರಿ ಇಲ್ಲದೇ ರೈತರು ತೀರಾ ಸಂಕಷ್ಟದಲ್ಲಿ ಜೀವನ ನಡೆಸುತ್ತಿದ್ದಾರೆ,ಆದ್ದರಿಂದ ಶೀಘ್ರಗತಿಯಲ್ಲಿ ಎತ್ತಿನಹೊಳೆ ನೀರನ್ನು ಈ ಭಾಗಕ್ಕೆ ಹರಿಸಬೇಕೆಂಬ ನಿಟ್ಟಿನಲ್ಲಿ ಪ್ರಾಮಾಣಿಕ ಸರ್ಕಾರ ಕೆಲಸ ಮಾಡುತ್ತಿದೆ ರಾಜ್ಯ ಸರ್ಕಾರ ರೈತರ ಧ್ವನಿಯಾಗಿ ಜನ ಸಾಮಾನ್ಯರ ಅಶೋತ್ತರಗಳಿಗೆ ಸ್ವಂದಿಸಿ ಕೆಲಸ ಮಾಡಲಿದೆ
ರಸ್ತೆ ನಿರ್ಮಾಣವಾಗಿ ಅನೇಕ ವರ್ಷಗಳು ಕಳೆದರೂ ಗಿಡಗಳನ್ನು ನೆಟ್ಟಿರಲಿಲ್ಲ ಆದರೆ ಈಗ ರಾಹುಲ್ ಗಾಂಧಿ ಆಗಮಿಸುವ ಹಿನ್ನಲೆಯಲ್ಲಿ ದಿಢೀರನೆ ಗಿಡ ನೆಟ್ಟಿರುವುದು ಅಚ್ಚರಿಗೆ ಕಾರಣವಾಗಿದೆ,N,O,ಆದರೆ,ರಸ್ತೆ ನಿರ್ಮಾಣವಾಗಿ ಅನೇಕ ವರ್ಷಗಳು ಕಳೆದರೂ ಗಿಡಗಳನ್ನು ನೆಟ್ಟಿರಲಿಲ್ಲ,ಆದರೆ ಈಗ ರಾಹುಲ್ ಗಾಂಧಿ ಆಗಮಿಸುವ ಹಿನ್ನಲೆಯಲ್ಲಿ ದಿಢೀರನೆ ಗಿಡ ನೆಟ್ಟಿರುವುದು ಅಚ್ಚರಿಗೆ ಕಾರಣವಾಗಿದೆ
ಇದೀಗ ಎಲ್ಲದಕ್ಕೂ ಕಾಲ ಕೂಡಿಬಂದಿದ್ದು ಚಿತ್ರದ ಕಡೆ ನಿರ್ದೇಶಕ ಆರ್ ಚಂದ್ರು ಅವರು ಗಮನ ಹರಿಸಿದ್ದಾರೆ ಆದ್ದರಿಂದ ಸದ್ಯದಲ್ಲೇ ಚಾರ್ ಮಿನಾರ್ ನಿರ್ದೇಶಕ ಆರ್ ಚಂದ್ರು ಮತ್ತು ಶಿವಣ್ಣ ಅವರ ಜುಗಲ್ ಬಂದಿಯಲ್ಲಿ ಬಾದ್ ಷಾ ಮೂಡಿಬರಲಿದ್ದು ಚಿತ್ರ ಆದಷ್ಟು ಬೇಗನೆ ಸೆಟ್ಟೇರಲಿದೆ,P,P,ಆದ್ದರಿಂದ,ಇದೀಗ ಎಲ್ಲದಕ್ಕೂ ಕಾಲ ಕೂಡಿಬಂದಿದ್ದು ಚಿತ್ರದ ಕಡೆ ನಿರ್ದೇಶಕ ಆರ್ ಚಂದ್ರು ಅವರು ಗಮನ ಹರಿಸಿದ್ದಾರೆ,ಆದ್ದರಿಂದ ಸದ್ಯದಲ್ಲೇ ಚಾರ್ ಮಿನಾರ್ ನಿರ್ದೇಶಕ ಆರ್ ಚಂದ್ರು ಮತ್ತು ಶಿವಣ್ಣ ಅವರ ಜುಗಲ್ ಬಂದಿಯಲ್ಲಿ ಬಾದ್ ಷಾ ಮೂಡಿಬರಲಿದ್ದು ಚಿತ್ರ ಆದಷ್ಟು ಬೇಗನೆ ಸೆಟ್ಟೇರಲಿದೆ
ಇಂದಿನ ಒತ್ತಡ ಜೀವನದಲ್ಲಿ ಎಲ್ಲರು ಹೆಚ್ಚಾಗಿ ಮುಖ ಗಂಟಾಗಿಕೊಂಡೆ ಇರುತ್ತಾರೆ ಜನರ ಲೈಫ್ ಸ್ಟೈಲ್ ಇಂದ ಅವರ ನಗುನೇ ಹೊರಟು ಹೋಗುತ್ತಿದೆ ಆದ್ದರಿಂದ ಆ ರೀತಿ ಇರಬೇಡಿ ಪ್ಲೀಸ್ ನಗಿ ಅನ್ನೋ ಮೆಸೇಜ್ ಅನ್ನು ಹೇಳೋಕೆ ಹೊರಟಿದ್ದೇವೆ,N,P,ಆದ್ದರಿಂದ,ಇಂದಿನ ಒತ್ತಡ ಜೀವನದಲ್ಲಿ ಎಲ್ಲರು ಹೆಚ್ಚಾಗಿ ಮುಖ ಗಂಟಾಗಿಕೊಂಡೆ ಇರುತ್ತಾರೆ ಜನರ ಲೈಫ್ ಸ್ಟೈಲ್ ಇಂದ ಅವರ ನಗುನೇ ಹೊರಟು ಹೋಗುತ್ತಿದೆ,ಆದ್ದರಿಂದ ಆ ರೀತಿ ಇರಬೇಡಿ ಪ್ಲೀಸ್ ನಗಿ ಅನ್ನೋ ಮೆಸೇಜ್ ಅನ್ನು ಹೇಳೋಕೆ ಹೊರಟಿದ್ದೇವೆ
ಕಳೆದ ವರ್ಷ ಫೆಬ್ರವರಿಯಲ್ಲಿ ಸಿಯಾಚಿನ್ನಲ್ಲಿ ಸಂಭವಿಸಿದ ಹಿಮಪಾತದಲ್ಲಿ ಅನೇಕ ಸೈನಿಕರು ದುರ್ಮರಣವನ್ನಪ್ಪಿದ್ದರು ಆದರೆ ಕೊಪ್ಪದ್ 6 ದಿನಗಳ ಬಳಿಕ ಹಿಮದಡಿಯಲ್ಲಿ ಜೀವಂತವಾಗಿ ಸಿಕ್ಕಿ ಸಂಪೂರ್ಣ ದೇಶಕ್ಕೆ ಆಶ್ಚರ್ಯ ಮತ್ತು ಹೆಮ್ಮೆಯುಂಟಾಗುವಂತೆ ಮಾಡಿದ್ದರು,N,P,ಆದರೆ,ಕಳೆದ ವರ್ಷ ಫೆಬ್ರವರಿಯಲ್ಲಿ ಸಿಯಾಚಿನ್ನಲ್ಲಿ ಸಂಭವಿಸಿದ ಹಿಮಪಾತದಲ್ಲಿ ಅನೇಕ ಸೈನಿಕರು ದುರ್ಮರಣವನ್ನಪ್ಪಿದ್ದರು,ಆದರೆ ಕೊಪ್ಪದ್ 6 ದಿನಗಳ ಬಳಿಕ ಹಿಮದಡಿಯಲ್ಲಿ ಜೀವಂತವಾಗಿ ಸಿಕ್ಕಿ ಸಂಪೂರ್ಣ ದೇಶಕ್ಕೆ ಆಶ್ಚರ್ಯ ಮತ್ತು ಹೆಮ್ಮೆಯುಂಟಾಗುವಂತೆ ಮಾಡಿದ್ದರು
ಫೇಸ್ಬುಕ್ ಯಾವ ಆಲೋಚನೆಯಲ್ಲಿ ಫೇಸ್ ರೆಕಗ್ನೈಶನ್ ತಂತ್ರಜ್ಞಾನವನ್ನು ತರುತ್ತಿದೆ ಎಂಬುದು ಈ ವರೆಗೂ ಸ್ಪಷ್ಟವಾಗಿಲ್ಲ ಆದರೆ ಫೇಸ್ಬುಕ್ ಫೇಸ್ ರೆಕಗ್ನೈಶನ್ ತಂತ್ರಜ್ಞಾನ ಬಳಕೆಗೆ ಬಂದರೆ ಬಳಕೆದಾರರಿಗೆ ತಮ್ಮ ಫೇಸ್ಬುಕ್ ಅಕೌಂಟ್ ರಕ್ಷಣೆಗಾಗಿ ಮತ್ತು ಲಾಗಿನ್ ಆಗಲು ಸುಲಭವಾಗುವಂತೆ ಸಹಾಯಕವಾಗಲಿದೆ,O,P,ಆದರೆ,ಫೇಸ್ಬುಕ್ ಯಾವ ಆಲೋಚನೆಯಲ್ಲಿ ಫೇಸ್ ರೆಕಗ್ನೈಶನ್ ತಂತ್ರಜ್ಞಾನವನ್ನು ತರುತ್ತಿದೆ ಎಂಬುದು ಈ ವರೆಗೂ ಸ್ಪಷ್ಟವಾಗಿಲ್ಲ,ಆದರೆ ಫೇಸ್ಬುಕ್ ಫೇಸ್ ರೆಕಗ್ನೈಶನ್ ತಂತ್ರಜ್ಞಾನ ಬಳಕೆಗೆ ಬಂದರೆ ಬಳಕೆದಾರರಿಗೆ ತಮ್ಮ ಫೇಸ್ಬುಕ್ ಅಕೌಂಟ್ ರಕ್ಷಣೆಗಾಗಿ ಮತ್ತು ಲಾಗಿನ್ ಆಗಲು ಸುಲಭವಾಗುವಂತೆ ಸಹಾಯಕವಾಗಲಿದೆ
ಆ ಕಾಲವೇ ಹಾಗಿತ್ತು ಮುಖಾಮುಖಿ ಮಾತು ಸಂಬಂಧಗಳಿಗೆ ಬೆಲೆ ಇತ್ತು ಜತೆಯಾಗಿ ಊಟ ಆಟ ಪಾಠ ನಮ್ಮದಾಗುತ್ತಿತ್ತು ಆದರೆ ಈಗ ಕಾಲ ಹಾಗಿಲ್ಲ ವೈಯಕ್ತಿಕ ಹಿತಾಸಕ್ತಿ ಸಾಧನೆ ಕೆಲಸದ ಒತ್ತಡ ಎಲ್ಲವನ್ನು ನುಂಗುತ್ತಿದೆ,P,N,ಆದರೆ,ಆ ಕಾಲವೇ ಹಾಗಿತ್ತು ಮುಖಾಮುಖಿ ಮಾತು ಸಂಬಂಧಗಳಿಗೆ ಬೆಲೆ ಇತ್ತು ಜತೆಯಾಗಿ ಊಟ ಆಟ ಪಾಠ ನಮ್ಮದಾಗುತ್ತಿತ್ತು,ಆದರೆ ಈಗ ಕಾಲ ಹಾಗಿಲ್ಲ ವೈಯಕ್ತಿಕ ಹಿತಾಸಕ್ತಿ ಸಾಧನೆ ಕೆಲಸದ ಒತ್ತಡ ಎಲ್ಲವನ್ನು ನುಂಗುತ್ತಿದೆ
ನಾವೆಲ್ಲ ಯಾಕೆ ಹೀಗೆ ಆಗುತ್ತಿದ್ದೇವೆ ? ದೊಡ್ಡ ಗ್ರಾತ್ರದ ಕಟ್ಟಡ ಕಟ್ಟಬೇಕು ರೋಬೊ ಕಂಡುಹಿಡಿಯಬೇಕು ನಿಜ ಆದರೆ ನಾವೇ ರೋಬೊ ಆಗಬಾರದು ನಿಂತ ಕಟ್ಟಡವೂ ಆಗಬಾರದು,P,N,ಆದರೆ,ನಾವೆಲ್ಲ ಯಾಕೆ ಹೀಗೆ ಆಗುತ್ತಿದ್ದೇವೆ ? ದೊಡ್ಡ ಗ್ರಾತ್ರದ ಕಟ್ಟಡ ಕಟ್ಟಬೇಕು ರೋಬೊ ಕಂಡುಹಿಡಿಯಬೇಕು ನಿಜ,ಆದರೆ ನಾವೇ ರೋಬೊ ಆಗಬಾರದು ನಿಂತ ಕಟ್ಟಡವೂ ಆಗಬಾರದು
ಶ್ರೀವಿದ್ಯಾಮಾನ್ಯರ ಸಮೀಪದ ಒಡನಾಟ ನನಗೆ ದೊರಕಿರಲಿಲ್ಲ ಆದರೆ ಅವರ ಮುಗ್ದತೆಯ ಬಗ್ಗೆ ಇನ್ನಿತರ ಹಿರಿಯರಿಂದ ಕೇಳಿ ಬಲ್ಲೆ,N,P,ಆದರೆ,ಶ್ರೀವಿದ್ಯಾಮಾನ್ಯರ ಸಮೀಪದ ಒಡನಾಟ ನನಗೆ ದೊರಕಿರಲಿಲ್ಲ,ಆದರೆ ಅವರ ಮುಗ್ದತೆಯ ಬಗ್ಗೆ ಇನ್ನಿತರ ಹಿರಿಯರಿಂದ ಕೇಳಿ ಬಲ್ಲೆ
ಖ್ಯಾತ ಬಾಲಿವುಡ್ ನಟ ಸಲ್ಮಾನ್ ಖಾನ್ ಅಭಿನಯದ ಸುಲ್ತಾನ್ ಚಿತ್ರ ಬಿಡುಗಡೆಗೊಂಡ ಮೂರು ದಿನಗಳಲ್ಲೇ 100 ಕೋಟಿ ಕ್ಲಬ್ ಸೇರುವ ಮೂಲಕ ದಾಖಲೆ ಮಾಡಿದೆ ಅಲ್ಲದೇ ಅತಿ ಹೆಚ್ಚು ಗಳಿಕೆ ಮಾಡಿದ ಚಿತ್ರಗಳ ಪಟ್ಟಿಯಲ್ಲಿ ಸಲ್ಮಾನ್ ಖಾನ್ ಪ್ರಥಮ ಸ್ಥಾನದಲ್ಲಿದ್ದಾರೆ ಆದರೆ ವಿಶ್ವದ ಅತಿ ಹೆಚ್ಚು ಸಂಭಾವನೆ ಪಡೆಯುತ್ತಿರುವ ಸೆಲೆಬ್ರಿಟಿಗಳ ಪಟ್ಟಿಯನ್ನು ಫೋರ್ಬ್ಸ್ ನಿಯತಕಾಲಿಕೆ ಬಿಡುಗಡೆ ಮಾಡಿದ್ದು ಇದರಲ್ಲಿ ಸಲ್ಮಾನ್ ಸ್ಥಾನ ಗಿಟ್ಟಿಸಿಕೊಂಡಿಲ್ಲ,P,N,ಆದರೆ,ಖ್ಯಾತ ಬಾಲಿವುಡ್ ನಟ ಸಲ್ಮಾನ್ ಖಾನ್ ಅಭಿನಯದ ಸುಲ್ತಾನ್ ಚಿತ್ರ ಬಿಡುಗಡೆಗೊಂಡ ಮೂರು ದಿನಗಳಲ್ಲೇ 100 ಕೋಟಿ ಕ್ಲಬ್ ಸೇರುವ ಮೂಲಕ ದಾಖಲೆ ಮಾಡಿದೆ ಅಲ್ಲದೇ ಅತಿ ಹೆಚ್ಚು ಗಳಿಕೆ ಮಾಡಿದ ಚಿತ್ರಗಳ ಪಟ್ಟಿಯಲ್ಲಿ ಸಲ್ಮಾನ್ ಖಾನ್ ಪ್ರಥಮ ಸ್ಥಾನದಲ್ಲಿದ್ದಾರೆ,ಆದರೆ ವಿಶ್ವದ ಅತಿ ಹೆಚ್ಚು ಸಂಭಾವನೆ ಪಡೆಯುತ್ತಿರುವ ಸೆಲೆಬ್ರಿಟಿಗಳ ಪಟ್ಟಿಯನ್ನು ಫೋರ್ಬ್ಸ್ ನಿಯತಕಾಲಿಕೆ ಬಿಡುಗಡೆ ಮಾಡಿದ್ದು ಇದರಲ್ಲಿ ಸಲ್ಮಾನ್ ಸ್ಥಾನ ಗಿಟ್ಟಿಸಿಕೊಂಡಿಲ್ಲ
ನಾನು ಇಷ್ಟು ಮಾಡಿದ್ದಕ್ಕೆ ಇಲಾಖೆ ನನ್ನನ್ನು ಅಭಿನಂದಿಸಲು ಮರೆಯಲಿಲ್ಲ ಆದರೆ ಮಾಡಬೇಕಾದ ಕೆಲಸ ಮಾತ್ರ ಮಾಡಲಿಲ್ಲ,P,N,ಆದರೆ,ನಾನು ಇಷ್ಟು ಮಾಡಿದ್ದಕ್ಕೆ ಇಲಾಖೆ ನನ್ನನ್ನು ಅಭಿನಂದಿಸಲು ಮರೆಯಲಿಲ್ಲ,ಆದರೆ ಮಾಡಬೇಕಾದ ಕೆಲಸ ಮಾತ್ರ ಮಾಡಲಿಲ್ಲ
ದೇಶದ ದುರದೃಷ್ಟ ಅಧಿಕಾರಿಗಳಿಗೆ ಮರಗಳ ರಕ್ಷಣೆಗಿಂತ ಇಲಾಖೆಯ ಪ್ರತಿಷ್ಠೆಯ ರಕ್ಷಣೆ ಹೆಚ್ಚು ಮುಖ್ಯವಾಯಿತು ಹೀಗಾಗಿ ಬೊಳ್ಳಾಜೆಯ ಹಲವು ಮರಗಳು ಅಕಾಲ ಮರಣಕ್ಕೀಡಾದವು,O,N,ಹೀಗಾಗಿ,ದೇಶದ ದುರದೃಷ್ಟ ಅಧಿಕಾರಿಗಳಿಗೆ ಮರಗಳ ರಕ್ಷಣೆಗಿಂತ ಇಲಾಖೆಯ ಪ್ರತಿಷ್ಠೆಯ ರಕ್ಷಣೆ ಹೆಚ್ಚು ಮುಖ್ಯವಾಯಿತು,ಹೀಗಾಗಿ ಬೊಳ್ಳಾಜೆಯ ಹಲವು ಮರಗಳು ಅಕಾಲ ಮರಣಕ್ಕೀಡಾದವು
ಎಂ ಎಸ್ ಇ ಜಡ್ ಕಂಪೆನಿಯ ಪ್ರತಿ ಹೆಜ್ಜೆಯನ್ನೂ ಸೂಕ್ಷ್ಮವಾಗಿ ಗಮನಿಸಬೇಕಿತ್ತು ಆದರೆ ಅದು ಹೊಸದೊಂದು ಅಣೆಕಟ್ಟು ನಿರ್ಮಿಸಿ ಮಂಗಳೂರಿಗರಿಗೆ ನೀರು ಕೊಡುವ ಉತ್ಸಾಹದಲ್ಲಿ ತನ್ನ ನೀರಿನ ಮೂಲಕ್ಕೇ ಕನ್ನ ಬೀಳುತ್ತಿರುವುದನ್ನು ಕಾಣುತ್ತಿಲ್ಲ,O,O,ಆದರೆ,ಎಂ ಎಸ್ ಇ ಜಡ್ ಕಂಪೆನಿಯ ಪ್ರತಿ ಹೆಜ್ಜೆಯನ್ನೂ ಸೂಕ್ಷ್ಮವಾಗಿ ಗಮನಿಸಬೇಕಿತ್ತು,ಆದರೆ ಅದು ಹೊಸದೊಂದು ಅಣೆಕಟ್ಟು ನಿರ್ಮಿಸಿ ಮಂಗಳೂರಿಗರಿಗೆ ನೀರು ಕೊಡುವ ಉತ್ಸಾಹದಲ್ಲಿ ತನ್ನ ನೀರಿನ ಮೂಲಕ್ಕೇ ಕನ್ನ ಬೀಳುತ್ತಿರುವುದನ್ನು ಕಾಣುತ್ತಿಲ್ಲ
ಈ ಜಿಲ್ಲೆಗಳಿಗೆ ಕಾವೇರಿ ನದಿಯಿಂದ ನೀರು ಪೂರೈಸುವ ಯಾವ ಯೋಜನೆಯೂ ಇಲ್ಲ ಏಕೆಂದರೆ ಕಾವೇರಿಯ ನೀರು ನೀರಾವರಿ ಹಾಗೂ ದಿನದಿನವೂ ಬೆಳೆಯುತ್ತಿರುವ ಬೆಂಗಳೂರಿನ ಕುಡಿಯುವ ನೀರಿನ ಬೇಡಿಕೆಯನ್ನು ಪೂರೈಸಲು ಮೀಸಲಾಗಿದೆ,O,O,ಏಕೆಂದರೆ,ಈ ಜಿಲ್ಲೆಗಳಿಗೆ ಕಾವೇರಿ ನದಿಯಿಂದ ನೀರು ಪೂರೈಸುವ ಯಾವ ಯೋಜನೆಯೂ ಇಲ್ಲ,ಏಕೆಂದರೆ ಕಾವೇರಿಯ ನೀರು ನೀರಾವರಿ ಹಾಗೂ ದಿನದಿನವೂ ಬೆಳೆಯುತ್ತಿರುವ ಬೆಂಗಳೂರಿನ ಕುಡಿಯುವ ನೀರಿನ ಬೇಡಿಕೆಯನ್ನು ಪೂರೈಸಲು ಮೀಸಲಾಗಿದೆ
